gvkey,year,exec_fullname,gender,age,joined_co,leftco,ceoann,becameceo,leftofc,salary,total_curr
5125,2015,Thomas C. Gallagher,MALE,67.0,,,CEO,2004/08/01,2016/04/01,1124.75,1124.75
5125,2015,Paul D. Donahue,MALE,58.0,,,,2016/05/01,,650.0,650.0
5125,2015,Carol B. Yancey,FEMALE,51.0,,,,,,462.5,462.5
5125,2015,James R. Neill,MALE,53.0,,,,,,307.5,307.5
5125,2015,Timothy P. Breen,MALE,55.0,,,,,,444.0,444.0
5125,2016,Thomas C. Gallagher,MALE,68.0,,,,2004/08/01,2016/04/01,1158.5,1158.5
5125,2016,Paul D. Donahue,MALE,59.0,,,CEO,2016/05/01,,840.0,840.0
5125,2016,Carol B. Yancey,FEMALE,52.0,,,,,,507.5,507.5
5125,2016,James R. Neill,MALE,54.0,,,,,,319.0,319.0
5125,2016,Timothy P. Breen,MALE,56.0,,,,,,456.0,456.0
5125,2016,Lee A. Maher,MALE,60.0,,,,,,489.67,489.67
5125,2017,Thomas C. Gallagher,MALE,69.0,,,,2004/08/01,2016/04/01,538.5,538.5
5125,2017,Paul D. Donahue,MALE,60.0,,,CEO,2016/05/01,,1001.25,1001.25
5125,2017,Carol B. Yancey,FEMALE,53.0,,,,,,539.5,539.5
5125,2017,James R. Neill,MALE,55.0,,,,,,331.75,331.75
5125,2017,Timothy P. Breen,MALE,57.0,,,,,,471.25,471.25
5125,2017,Lee A. Maher,MALE,61.0,,,,,,523.75,523.75
2184,2015,Shari L. Ballard,FEMALE,50.0,,,,,,790.385,790.385
2184,2015,Hubert Joly,MALE,57.0,,,CEO,2012/09/01,2019/06/11,1175.0,1175.0
2184,2015,Sharon L. McCollam,FEMALE,53.0,,,,,,925.0,925.0
2184,2015,Keith J. Nelsen,MALE,52.0,,,,,,640.385,640.385
2184,2015,R. Michael Mohan,MALE,48.0,,,,,,790.385,790.385
2184,2016,Shari L. Ballard,FEMALE,51.0,,,,,,800.0,800.0
2184,2016,Hubert Joly,MALE,58.0,,,CEO,2012/09/01,2019/06/11,1175.0,1175.0
2184,2016,Sharon L. McCollam,FEMALE,54.0,,,,,,925.0,925.0
2184,2016,Keith J. Nelsen,MALE,53.0,,,,,,650.0,650.0
2184,2016,R. Michael Mohan,MALE,49.0,,,,,,833.654,833.654
2184,2016,Corie Sue Barry,FEMALE,42.0,,,,2019/06/11,,713.462,713.462
2184,2017,Shari L. Ballard,FEMALE,52.0,,,,,,859.6160000000001,859.6160000000001
2184,2017,Hubert Joly,MALE,59.0,,,CEO,2012/09/01,2019/06/11,1286.058,1286.058
2184,2017,Keith J. Nelsen,MALE,54.0,,,,,,697.885,697.885
2184,2017,R. Michael Mohan,MALE,50.0,,,,,,866.346,866.346
2184,2017,Corie Sue Barry,FEMALE,43.0,,,,2019/06/11,,764.423,764.423
160888,2015,Deming Xiao,MALE,52.0,,,,,,340.0,380.8
160888,2015,Michael R. Hsing,MALE,55.0,,,CEO,1997/08/01,,600.0,690.0
160888,2015,Maurice Sciammas,MALE,55.0,,,,,,340.0,380.8
160888,2015,Meera P. Rao,FEMALE,54.0,,,,,,310.0,347.2
160888,2015,Saria Tseng,FEMALE,44.0,,,,,,340.0,380.8
160888,2016,Deming Xiao,MALE,53.0,,,,,,340.0,380.8
160888,2016,Michael R. Hsing,MALE,56.0,,,CEO,1997/08/01,,600.0,690.0
160888,2016,Maurice Sciammas,MALE,56.0,,,,,,340.0,380.8
